time,position
30,"(117.627364, 23.616523, 0)"
30,"(117.362296, 23.511644, 0)"
30,"(117.756278, 23.596439, 0)"
30,"(118.802821, 24.652699, 0)"
36,"(117.469548, 23.523521, 0)"
36,"(117.437211, 23.496884, 0)"
36,"(117.70589, 23.571752, 0)"
36,"(117.601565, 23.576701, 0)"
36,"(117.726747, 23.723167, 0)"
36,"(117.580266, 23.588476, 0)"
36,"(117.576727, 23.662731, 0)"
36,"(117.611194, 23.622222, 0)"
36,"(117.571393, 23.596823, 0)"
36,"(117.670071, 23.593955, 0)"
36,"(117.785432, 23.588753, 0)"
36,"(117.627955, 23.617146, 0)"
36,"(117.533417, 23.591173, 0)"
36,"(117.358056, 23.515391, 0)"
36,"(117.531622, 23.642021, 0)"
36,"(117.759124, 23.596197, 0)"
42,"(117.473002, 23.521513, 0)"
42,"(117.439548, 23.495409, 0)"
42,"(117.708924, 23.571562, 0)"
42,"(117.599942, 23.577913, 0)"
42,"(117.62962, 23.609304, 0)"
42,"(117.728021, 23.723202, 0)"
42,"(117.580353, 23.589164, 0)"
42,"(117.578532, 23.662423, 0)"
42,"(117.609373, 23.623754, 0)"
42,"(117.57068, 23.598046, 0)"
42,"(117.669819, 23.594217, 0)"
42,"(117.789635, 23.588651, 0)"
42,"(117.627824, 23.618148, 0)"
42,"(117.532917, 23.590575, 0)"
42,"(117.362865, 23.511736, 0)"
42,"(117.531667, 23.643019, 0)"
42,"(117.756617, 23.597022, 0)"
48,"(117.472414, 23.52232, 0)"
48,"(117.439529, 23.495517, 0)"
48,"(117.707161, 23.572722, 0)"
48,"(117.601218, 23.577666, 0)"
48,"(117.629805, 23.608981, 0)"
48,"(117.730778, 23.722696, 0)"
48,"(117.58195, 23.589073, 0)"
48,"(117.578113, 23.663596, 0)"
48,"(117.6131, 23.622274, 0)"
48,"(117.57249, 23.597836, 0)"
48,"(117.669808, 23.594274, 0)"
48,"(117.791007, 23.588826, 0)"
48,"(117.534549, 23.588481, 0)"
48,"(117.364894, 23.510192, 0)"
48,"(117.530854, 23.644614, 0)"
48,"(117.760597, 23.596556, 0)"
54,"(117.470575, 23.52385, 0)"
54,"(117.441081, 23.494622, 0)"
54,"(117.708538, 23.572899, 0)"
54,"(117.60138, 23.577983, 0)"
54,"(117.629124, 23.609047, 0)"
54,"(117.729558, 23.723643, 0)"
54,"(117.581965, 23.589918, 0)"
54,"(117.580375, 23.663015, 0)"
54,"(117.611691, 23.623559, 0)"
54,"(117.571551, 23.599183, 0)"
54,"(117.670339, 23.594235, 0)"
54,"(117.789175, 23.589487, 0)"
54,"(117.63393, 23.616896, 0)"
54,"(117.536147, 23.586597, 0)"
54,"(117.3649, 23.510515, 0)"
54,"(117.764494, 23.596065, 0)"
60,"(117.473437, 23.522275, 0)"
60,"(117.441419, 23.494501, 0)"
60,"(117.710535, 23.573002, 0)"
60,"(117.602094, 23.578056, 0)"
60,"(117.629382, 23.608597, 0)"
60,"(117.730973, 23.723547, 0)"
60,"(117.583034, 23.590116, 0)"
60,"(117.580603, 23.663729, 0)"
60,"(117.612126, 23.623869, 0)"
60,"(117.674071, 23.592885, 0)"
60,"(117.789732, 23.589751, 0)"
60,"(117.630823, 23.619313, 0)"
60,"(117.533935, 23.587048, 0)"
60,"(117.365194, 23.510536, 0)"
60,"(117.761907, 23.596816, 0)"
66,"(117.474489, 23.522016, 0)"
66,"(117.442642, 23.493872, 0)"
66,"(117.711696, 23.573229, 0)"
66,"(117.604821, 23.577082, 0)"
66,"(117.631972, 23.60717, 0)"
66,"(117.73239, 23.723554, 0)"
66,"(117.585051, 23.589795, 0)"
66,"(117.580711, 23.664528, 0)"
66,"(117.615153, 23.622754, 0)"
66,"(117.577133, 23.597608, 0)"
66,"(117.675316, 23.592536, 0)"
66,"(117.633549, 23.618858, 0)"
66,"(117.534121, 23.585953, 0)"
66,"(117.533181, 23.645947, 0)"
66,"(117.763095, 23.596899, 0)"
72,"(117.470544, 23.524973, 0)"
72,"(117.442048, 23.494388, 0)"
72,"(117.716327, 23.572679, 0)"
72,"(117.607206, 23.576337, 0)"
72,"(117.629822, 23.607903, 0)"
72,"(117.734532, 23.723268, 0)"
72,"(117.5851, 23.590545, 0)"
72,"(117.58278, 23.663988, 0)"
72,"(117.612656, 23.624616, 0)"
72,"(117.577238, 23.598329, 0)"
72,"(117.792328, 23.590313, 0)"
72,"(117.634091, 23.619496, 0)"
72,"(117.5333, 23.585614, 0)"
72,"(117.362423, 23.513241, 0)"
72,"(117.538246, 23.643296, 0)"
72,"(117.766667, 23.596525, 0)"
78,"(117.4744, 23.522783, 0)"
78,"(117.443317, 23.493591, 0)"
78,"(117.604863, 23.577943, 0)"
78,"(117.63051, 23.607291, 0)"
78,"(117.735031, 23.723565, 0)"
78,"(117.581414, 23.665869, 0)"
78,"(117.616161, 23.623303, 0)"
78,"(117.576283, 23.599711, 0)"
78,"(117.677044, 23.592043, 0)"
78,"(117.793837, 23.590487, 0)"
78,"(117.632362, 23.621179, 0)"
78,"(117.53331, 23.584628, 0)"
78,"(117.538195, 23.644328, 0)"
78,"(117.766485, 23.59678, 0)"
84,"(117.477454, 23.521055, 0)"
84,"(117.443399, 23.493733, 0)"
84,"(117.715474, 23.574161, 0)"
84,"(117.606746, 23.577424, 0)"
84,"(117.633385, 23.605691, 0)"
84,"(117.735174, 23.723992, 0)"
84,"(117.587399, 23.590989, 0)"
84,"(117.58192, 23.666439, 0)"
84,"(117.616122, 23.62384, 0)"
84,"(117.579342, 23.598794, 0)"
84,"(117.677676, 23.592034, 0)"
84,"(117.79486, 23.590779, 0)"
84,"(117.635783, 23.620416, 0)"
84,"(117.532863, 23.584013, 0)"
84,"(117.537521, 23.645768, 0)"
84,"(117.76505, 23.597358, 0)"
90,"(117.443765, 23.493572, 0)"
90,"(117.717116, 23.574337, 0)"
90,"(117.632828, 23.605702, 0)"
90,"(117.733495, 23.724958, 0)"
90,"(117.589508, 23.59064, 0)"
90,"(117.585049, 23.665225, 0)"
90,"(117.616524, 23.624169, 0)"
90,"(117.578224, 23.600198, 0)"
90,"(117.677916, 23.592024, 0)"
90,"(117.798124, 23.590816, 0)"
90,"(117.636252, 23.621029, 0)"
90,"(117.531191, 23.584085, 0)"
90,"(117.367221, 23.510015, 0)"
90,"(117.537823, 23.6466, 0)"
90,"(117.765428, 23.597542, 0)"
96,"(117.478643, 23.521147, 0)"
96,"(117.444405, 23.493268, 0)"
96,"(117.719876, 23.574199, 0)"
96,"(117.60569, 23.578737, 0)"
96,"(117.631023, 23.606199, 0)"
96,"(117.736402, 23.724482, 0)"
96,"(117.586722, 23.592887, 0)"
96,"(117.586375, 23.66529, 0)"
96,"(117.61718, 23.624317, 0)"
96,"(117.580215, 23.599938, 0)"
96,"(117.676229, 23.592742, 0)"
96,"(117.796571, 23.591363, 0)"
96,"(117.635209, 23.622357, 0)"
96,"(117.531793, 23.582755, 0)"
96,"(117.537517, 23.647806, 0)"
96,"(117.769118, 23.597161, 0)"
102,"(117.477131, 23.52237, 0)"
102,"(117.442488, 23.494718, 0)"
102,"(117.60812, 23.577964, 0)"
102,"(117.632221, 23.605411, 0)"
102,"(117.736471, 23.724943, 0)"
102,"(117.588197, 23.592829, 0)"
102,"(117.58545, 23.666772, 0)"
102,"(117.618086, 23.624391, 0)"
102,"(117.580263, 23.600639, 0)"
102,"(117.678331, 23.592041, 0)"
102,"(117.797526, 23.59166, 0)"
102,"(117.637802, 23.622129, 0)"
102,"(117.535159, 23.5797, 0)"
102,"(117.541411, 23.646029, 0)"
102,"(117.76776, 23.597638, 0)"
108,"(117.477709, 23.52233, 0)"
108,"(117.443967, 23.49381, 0)"
108,"(117.716877, 23.576214, 0)"
108,"(117.607813, 23.57843, 0)"
108,"(117.735772, 23.725613, 0)"
108,"(117.589948, 23.592678, 0)"
108,"(117.587274, 23.666486, 0)"
108,"(117.619205, 23.624346, 0)"
108,"(117.58123, 23.600929, 0)"
108,"(117.677395, 23.59247, 0)"
108,"(117.799042, 23.59191, 0)"
108,"(117.64034, 23.621802, 0)"
108,"(117.534859, 23.578887, 0)"
108,"(117.373186, 23.505902, 0)"
108,"(117.542907, 23.645907, 0)"
108,"(117.76857, 23.597771, 0)"
114,"(117.444413, 23.493713, 0)"
114,"(117.721452, 23.575581, 0)"
114,"(117.609972, 23.577867, 0)"
114,"(117.636337, 23.603022, 0)"
114,"(117.740741, 23.724397, 0)"
114,"(117.619661, 23.62458, 0)"
114,"(117.581198, 23.60178, 0)"
114,"(117.678599, 23.592076, 0)"
114,"(117.801355, 23.592027, 0)"
114,"(117.639423, 23.623036, 0)"
114,"(117.533304, 23.579037, 0)"
114,"(117.369356, 23.509206, 0)"
114,"(117.542038, 23.647496, 0)"
120,"(117.477311, 23.523326, 0)"
120,"(117.444887, 23.493559, 0)"
120,"(117.724099, 23.575603, 0)"
120,"(117.610269, 23.578104, 0)"
120,"(117.637149, 23.602357, 0)"
120,"(117.737389, 23.72599, 0)"
120,"(117.582005, 23.602072, 0)"
120,"(117.799159, 23.592655, 0)"
120,"(117.638895, 23.624115, 0)"
120,"(117.533971, 23.57756, 0)"
120,"(117.372562, 23.506929, 0)"
120,"(117.543777, 23.647301, 0)"
126,"(117.479728, 23.522121, 0)"
126,"(117.723392, 23.576348, 0)"
126,"(117.613732, 23.576889, 0)"
126,"(117.633907, 23.603567, 0)"
126,"(117.739789, 23.725609, 0)"
126,"(117.594065, 23.592859, 0)"
126,"(117.587347, 23.669084, 0)"
126,"(117.622133, 23.624292, 0)"
126,"(117.682098, 23.591058, 0)"
126,"(117.803124, 23.592584, 0)"
126,"(117.639576, 23.624719, 0)"
126,"(117.533703, 23.576787, 0)"
126,"(117.372191, 23.507336, 0)"
126,"(117.543328, 23.648581, 0)"
132,"(117.482086, 23.520877, 0)"
132,"(117.613508, 23.577437, 0)"
132,"(117.634502, 23.603033, 0)"
132,"(117.742775, 23.725115, 0)"
132,"(117.595412, 23.592948, 0)"
132,"(117.586961, 23.670243, 0)"
132,"(117.62173, 23.625018, 0)"
132,"(117.586219, 23.601315, 0)"
132,"(117.683401, 23.590709, 0)"
132,"(117.803798, 23.592958, 0)"
132,"(117.640472, 23.625102, 0)"
132,"(117.534325, 23.575579, 0)"
132,"(117.374182, 23.506015, 0)"
132,"(117.545708, 23.647943, 0)"
132,"(117.77265, 23.598126, 0)"
138,"(117.48226, 23.521163, 0)"
138,"(117.447908, 23.491792, 0)"
138,"(117.722051, 23.577848, 0)"
138,"(117.614402, 23.577305, 0)"
138,"(117.636197, 23.601997, 0)"
138,"(117.740228, 23.726372, 0)"
138,"(117.598281, 23.592268, 0)"
138,"(117.588305, 23.670159, 0)"
138,"(117.621862, 23.625494, 0)"
138,"(117.684495, 23.59038, 0)"
138,"(117.804762, 23.59323, 0)"
138,"(117.644258, 23.624251, 0)"
138,"(117.53051, 23.576922, 0)"
138,"(117.372298, 23.507767, 0)"
138,"(117.54566, 23.648966, 0)"
138,"(117.776832, 23.597743, 0)"
144,"(117.482819, 23.521123, 0)"
144,"(117.638564, 23.600616, 0)"
144,"(117.741975, 23.726265, 0)"
144,"(117.599179, 23.592571, 0)"
144,"(117.584718, 23.603794, 0)"
144,"(117.682623, 23.591017, 0)"
144,"(117.806804, 23.593406, 0)"
144,"(117.644871, 23.624786, 0)"
144,"(117.375213, 23.505651, 0)"
144,"(117.546687, 23.649181, 0)"
144,"(117.773741, 23.598503, 0)"
150,"(117.4818, 23.522226, 0)"
150,"(117.449565, 23.491023, 0)"
150,"(117.72564, 23.5782, 0)"
150,"(117.612847, 23.578832, 0)"
150,"(117.640046, 23.599765, 0)"
150,"(117.740925, 23.727083, 0)"
150,"(117.596446, 23.59477, 0)"
150,"(117.589556, 23.671214, 0)"
150,"(117.623928, 23.625389, 0)"
150,"(117.586943, 23.603416, 0)"
150,"(117.806764, 23.593773, 0)"
150,"(117.645418, 23.625485, 0)"
150,"(117.534529, 23.572568, 0)"
150,"(117.374369, 23.506569, 0)"
150,"(117.781302, 23.597619, 0)"
156,"(117.481069, 23.522982, 0)"
156,"(117.448302, 23.491937, 0)"
156,"(117.725863, 23.578755, 0)"
156,"(117.615729, 23.577896, 0)"
156,"(117.640287, 23.599364, 0)"
156,"(117.742898, 23.726795, 0)"
156,"(117.590684, 23.671401, 0)"
156,"(117.62492, 23.625442, 0)"
156,"(117.686584, 23.589929, 0)"
156,"(117.805539, 23.594272, 0)"
156,"(117.647962, 23.62514, 0)"
156,"(117.532488, 23.57286, 0)"
156,"(117.375286, 23.506067, 0)"
156,"(117.778121, 23.598275, 0)"
162,"(117.44735, 23.492734, 0)"
162,"(117.725602, 23.579361, 0)"
162,"(117.616984, 23.57772, 0)"
162,"(117.639532, 23.599396, 0)"
162,"(117.746455, 23.72613, 0)"
162,"(117.598792, 23.595072, 0)"
162,"(117.592395, 23.671162, 0)"
162,"(117.625994, 23.625411, 0)"
162,"(117.589288, 23.603624, 0)"
162,"(117.686688, 23.589988, 0)"
162,"(117.8064, 23.59459, 0)"
162,"(117.647662, 23.626122, 0)"
162,"(117.533368, 23.571328, 0)"
162,"(117.378664, 23.503595, 0)"
162,"(117.779127, 23.598397, 0)"
168,"(117.485034, 23.52114, 0)"
168,"(117.451023, 23.490458, 0)"
168,"(117.72672, 23.579691, 0)"
168,"(117.620187, 23.576657, 0)"
168,"(117.638899, 23.599425, 0)"
168,"(117.746192, 23.726681, 0)"
168,"(117.601309, 23.594498, 0)"
168,"(117.592172, 23.672161, 0)"
168,"(117.628075, 23.624892, 0)"
168,"(117.591173, 23.603389, 0)"
168,"(117.808329, 23.59483, 0)"
168,"(117.645732, 23.62782, 0)"
168,"(117.534116, 23.570087, 0)"
168,"(117.37699, 23.505176, 0)"
168,"(117.551661, 23.649569, 0)"
168,"(117.778683, 23.598693, 0)"
174,"(117.483295, 23.52261, 0)"
174,"(117.449945, 23.491247, 0)"
174,"(117.728292, 23.580007, 0)"
174,"(117.617163, 23.578372, 0)"
174,"(117.745766, 23.727336, 0)"
174,"(117.600776, 23.595559, 0)"
174,"(117.594014, 23.67183, 0)"
174,"(117.627137, 23.625889, 0)"
174,"(117.591847, 23.603812, 0)"
174,"(117.69044, 23.588787, 0)"
174,"(117.808255, 23.595101, 0)"
174,"(117.650962, 23.626307, 0)"
174,"(117.530805, 23.571079, 0)"
174,"(117.551195, 23.650933, 0)"
174,"(117.780626, 23.598708, 0)"
180,"(117.486192, 23.521012, 0)"
180,"(117.455109, 23.48809, 0)"
180,"(117.731553, 23.579738, 0)"
180,"(117.620116, 23.577382, 0)"
180,"(117.640479, 23.598141, 0)"
180,"(117.590031, 23.675314, 0)"
180,"(117.625346, 23.627264, 0)"
180,"(117.592468, 23.60425, 0)"
180,"(117.807286, 23.595528, 0)"
180,"(117.648271, 23.628351, 0)"
180,"(117.530467, 23.570299, 0)"
180,"(117.377378, 23.505323, 0)"
180,"(117.553803, 23.65007, 0)"
180,"(117.780098, 23.599067, 0)"
186,"(117.486112, 23.521453, 0)"
186,"(117.454927, 23.48818, 0)"
186,"(117.730519, 23.580539, 0)"
186,"(117.64, 23.598081, 0)"
186,"(117.748864, 23.727156, 0)"
186,"(117.602802, 23.59608, 0)"
186,"(117.59506, 23.67293, 0)"
186,"(117.627856, 23.626448, 0)"
186,"(117.595409, 23.603459, 0)"
186,"(117.692379, 23.588354, 0)"
186,"(117.809509, 23.595755, 0)"
186,"(117.647596, 23.629604, 0)"
186,"(117.533099, 23.567804, 0)"
186,"(117.380455, 23.503107, 0)"
186,"(117.552688, 23.651817, 0)"
186,"(117.781836, 23.598975, 0)"
192,"(117.484184, 23.52301, 0)"
192,"(117.451183, 23.490783, 0)"
192,"(117.730654, 23.581171, 0)"
192,"(117.621783, 23.577443, 0)"
192,"(117.643449, 23.596283, 0)"
192,"(117.74896, 23.727601, 0)"
192,"(117.60189, 23.597235, 0)"
192,"(117.595812, 23.673283, 0)"
192,"(117.632674, 23.624616, 0)"
192,"(117.69024, 23.589059, 0)"
192,"(117.809161, 23.596216, 0)"
192,"(117.650064, 23.629306, 0)"
192,"(117.53365, 23.566555, 0)"
192,"(117.381883, 23.502231, 0)"
192,"(117.556678, 23.649994, 0)"
192,"(117.781285, 23.599295, 0)"
198,"(117.488923, 23.520332, 0)"
198,"(117.453667, 23.489251, 0)"
198,"(117.731429, 23.581558, 0)"
198,"(117.621989, 23.577679, 0)"
198,"(117.642769, 23.596293, 0)"
198,"(117.750075, 23.727663, 0)"
198,"(117.606288, 23.595856, 0)"
198,"(117.596809, 23.673536, 0)"
198,"(117.628135, 23.627295, 0)"
198,"(117.597124, 23.604132, 0)"
198,"(117.696218, 23.587224, 0)"
198,"(117.81267, 23.596256, 0)"
198,"(117.653277, 23.628733, 0)"
198,"(117.530666, 23.567442, 0)"
198,"(117.380907, 23.503112, 0)"
198,"(117.553707, 23.653027, 0)"
198,"(117.783898, 23.59917, 0)"
204,"(117.488943, 23.520709, 0)"
204,"(117.454186, 23.489102, 0)"
204,"(117.733612, 23.581646, 0)"
204,"(117.621294, 23.578411, 0)"
204,"(117.748927, 23.728457, 0)"
204,"(117.608876, 23.595254, 0)"
204,"(117.597599, 23.673919, 0)"
204,"(117.63425, 23.624845, 0)"
204,"(117.594937, 23.606045, 0)"
204,"(117.69495, 23.587703, 0)"
204,"(117.815701, 23.596302, 0)"
204,"(117.649604, 23.631258, 0)"
204,"(117.532604, 23.565244, 0)"
204,"(117.380048, 23.504012, 0)"
204,"(117.553138, 23.654429, 0)"
210,"(117.488382, 23.521361, 0)"
210,"(117.45592, 23.488056, 0)"
210,"(117.736928, 23.581454, 0)"
210,"(117.626852, 23.576335, 0)"
210,"(117.642275, 23.595862, 0)"
210,"(117.750382, 23.728435, 0)"
210,"(117.609777, 23.595619, 0)"
210,"(117.597796, 23.674603, 0)"
210,"(117.633076, 23.625914, 0)"
210,"(117.596829, 23.605799, 0)"
210,"(117.693775, 23.588074, 0)"
210,"(117.81235, 23.597039, 0)"
210,"(117.652987, 23.630524, 0)"
210,"(117.530204, 23.565829, 0)"
210,"(117.381929, 23.502766, 0)"
210,"(117.557097, 23.652639, 0)"
210,"(117.789301, 23.598886, 0)"
216,"(117.489503, 23.520953, 0)"
216,"(117.45365, 23.489711, 0)"
216,"(117.735023, 23.582458, 0)"
216,"(117.62488, 23.577562, 0)"
216,"(117.646583, 23.593815, 0)"
216,"(117.751419, 23.728492, 0)"
216,"(117.606485, 23.598005, 0)"
216,"(117.596121, 23.676609, 0)"
216,"(117.633986, 23.626, 0)"
216,"(117.599751, 23.604991, 0)"
216,"(117.692193, 23.588641, 0)"
216,"(117.814794, 23.597179, 0)"
216,"(117.656307, 23.629896, 0)"
216,"(117.534595, 23.562185, 0)"
216,"(117.382903, 23.502242, 0)"
216,"(117.556314, 23.654182, 0)"
216,"(117.78708, 23.5994, 0)"
222,"(117.491548, 23.520038, 0)"
222,"(117.45677, 23.487725, 0)"
222,"(117.625988, 23.577426, 0)"
222,"(117.645619, 23.59394, 0)"
222,"(117.751364, 23.729016, 0)"
222,"(117.607424, 23.598257, 0)"
222,"(117.597586, 23.676576, 0)"
222,"(117.635913, 23.625504, 0)"
222,"(117.599541, 23.605914, 0)"
222,"(117.693189, 23.58844, 0)"
222,"(117.814762, 23.597436, 0)"
222,"(117.653899, 23.631847, 0)"
222,"(117.533363, 23.561945, 0)"
222,"(117.385324, 23.5006, 0)"
222,"(117.560109, 23.652544, 0)"
222,"(117.786951, 23.599685, 0)"
228,"(117.489486, 23.521717, 0)"
228,"(117.454563, 23.48925, 0)"
228,"(117.738597, 23.582859, 0)"
228,"(117.624136, 23.578585, 0)"
228,"(117.64767, 23.592739, 0)"
228,"(117.753467, 23.728706, 0)"
228,"(117.61053, 23.597483, 0)"
228,"(117.599111, 23.676494, 0)"
228,"(117.635391, 23.626217, 0)"
228,"(117.598537, 23.607253, 0)"
228,"(117.697934, 23.586947, 0)"
228,"(117.817855, 23.597602, 0)"
228,"(117.658619, 23.630573, 0)"
228,"(117.528729, 23.563802, 0)"
228,"(117.382376, 23.503124, 0)"
228,"(117.563092, 23.651488, 0)"
228,"(117.78883, 23.599692, 0)"
234,"(117.49461, 23.518783, 0)"
234,"(117.456013, 23.488471, 0)"
234,"(117.740231, 23.583056, 0)"
234,"(117.62386, 23.579172, 0)"
234,"(117.647754, 23.592443, 0)"
234,"(117.753631, 23.72919, 0)"
234,"(117.610845, 23.598056, 0)"
234,"(117.633197, 23.627799, 0)"
234,"(117.599131, 23.607665, 0)"
234,"(117.699579, 23.586504, 0)"
234,"(117.818983, 23.597882, 0)"
234,"(117.655712, 23.63273, 0)"
234,"(117.531147, 23.561541, 0)"
234,"(117.389241, 23.497982, 0)"
234,"(117.561672, 23.653339, 0)"
240,"(117.49241, 23.520533, 0)"
240,"(117.625759, 23.578608, 0)"
240,"(117.65032, 23.59106, 0)"
240,"(117.754077, 23.729428, 0)"
240,"(117.610197, 23.599097, 0)"
240,"(117.598354, 23.67878, 0)"
240,"(117.63707, 23.626356, 0)"
240,"(117.602411, 23.606702, 0)"
240,"(117.699712, 23.5866, 0)"
240,"(117.818492, 23.598313, 0)"
240,"(117.657525, 23.632799, 0)"
240,"(117.534635, 23.558389, 0)"
240,"(117.389245, 23.498168, 0)"
240,"(117.560788, 23.654943, 0)"
240,"(117.790285, 23.599955, 0)"
246,"(117.489388, 23.522665, 0)"
246,"(117.454831, 23.489486, 0)"
246,"(117.737341, 23.584886, 0)"
246,"(117.62771, 23.57815, 0)"
246,"(117.646473, 23.592391, 0)"
246,"(117.612542, 23.59875, 0)"
246,"(117.601921, 23.67736, 0)"
246,"(117.602634, 23.607358, 0)"
246,"(117.702154, 23.585828, 0)"
246,"(117.822537, 23.598396, 0)"
246,"(117.660375, 23.632402, 0)"
246,"(117.536675, 23.556211, 0)"
246,"(117.390888, 23.497159, 0)"
246,"(117.560734, 23.655919, 0)"
246,"(117.796138, 23.59946, 0)"
252,"(117.494702, 23.519763, 0)"
252,"(117.458759, 23.4871, 0)"
252,"(117.740584, 23.58474, 0)"
252,"(117.630258, 23.577397, 0)"
252,"(117.649954, 23.590594, 0)"
252,"(117.755754, 23.729817, 0)"
252,"(117.612519, 23.599486, 0)"
252,"(117.599751, 23.679606, 0)"
252,"(117.638024, 23.626899, 0)"
252,"(117.603312, 23.607771, 0)"
252,"(117.700423, 23.586377, 0)"
252,"(117.822628, 23.598686, 0)"
252,"(117.660223, 23.633253, 0)"
252,"(117.532266, 23.557971, 0)"
252,"(117.387373, 23.499996, 0)"
252,"(117.56254, 23.655622, 0)"
252,"(117.795822, 23.599692, 0)"
258,"(117.493112, 23.521088, 0)"
258,"(117.456795, 23.488458, 0)"
258,"(117.741402, 23.585203, 0)"
258,"(117.627947, 23.578762, 0)"
258,"(117.651354, 23.589831, 0)"
258,"(117.758352, 23.729446, 0)"
258,"(117.615285, 23.598815, 0)"
258,"(117.60197, 23.679058, 0)"
258,"(117.639137, 23.626845, 0)"
258,"(117.60521, 23.607605, 0)"
258,"(117.698103, 23.587145, 0)"
258,"(117.659748, 23.634333, 0)"
258,"(117.530177, 23.558205, 0)"
258,"(117.388392, 23.49951, 0)"
258,"(117.795563, 23.599874, 0)"
264,"(117.496351, 23.519373, 0)"
264,"(117.744697, 23.585018, 0)"
264,"(117.631064, 23.577783, 0)"
264,"(117.648872, 23.590497, 0)"
264,"(117.758585, 23.729797, 0)"
264,"(117.614103, 23.60017, 0)"
264,"(117.602821, 23.6794, 0)"
264,"(117.640476, 23.626756, 0)"
264,"(117.604635, 23.608615, 0)"
264,"(117.701562, 23.586187, 0)"
264,"(117.823796, 23.59932, 0)"
264,"(117.662502, 23.633974, 0)"
264,"(117.53052, 23.557086, 0)"
264,"(117.390076, 23.498366, 0)"
264,"(117.565158, 23.655808, 0)"
264,"(117.793452, 23.600394, 0)"
270,"(117.494924, 23.520624, 0)"
270,"(117.45871, 23.487386, 0)"
270,"(117.746572, 23.58517, 0)"
270,"(117.633422, 23.577085, 0)"
270,"(117.651012, 23.589353, 0)"
270,"(117.757281, 23.73058, 0)"
270,"(117.615097, 23.600479, 0)"
270,"(117.605155, 23.678742, 0)"
270,"(117.639381, 23.627647, 0)"
270,"(117.608711, 23.607327, 0)"
270,"(117.702368, 23.585908, 0)"
270,"(117.657459, 23.637019, 0)"
270,"(117.535503, 23.553252, 0)"
270,"(117.56729, 23.655319, 0)"
270,"(117.798121, 23.600042, 0)"
276,"(117.49656, 23.519977, 0)"
276,"(117.456301, 23.489046, 0)"
276,"(117.745372, 23.586021, 0)"
276,"(117.62874, 23.579542, 0)"
276,"(117.652409, 23.588495, 0)"
276,"(117.759563, 23.730355, 0)"
276,"(117.617764, 23.599905, 0)"
276,"(117.603094, 23.680954, 0)"
276,"(117.642248, 23.626818, 0)"
276,"(117.608679, 23.608034, 0)"
276,"(117.82458, 23.599965, 0)"
